Invoice_ID,Customer_ID,Invoice_Date,Due_Date,Invoice_Amount_USD,Invoice_Status,Product_Plan,Invoice_Month
INV00001,C108,2023-07-24,2023-08-23,112.18,Paid,Basic,2023-07
INV00002,C091,2023-07-25,2023-08-24,142.69,Paid,Enterprise,2023-07
INV00003,C011,2023-07-16,2023-08-15,156.25,Paid,Enterprise,2023-07
INV00004,C027,2023-07-27,2023-08-26,120.88,Overdue,Pro,2023-07
INV00005,C087,2023-07-06,2023-08-05,108.25,Overdue,Basic,2023-07
INV00006,C003,2023-07-01,2023-07-31,612.0,Paid,Enterprise,2023-07
INV00007,C006,2023-07-25,2023-08-24,163.1,Paid,Enterprise,2023-07
INV00008,C138,2023-07-12,2023-08-11,74.03,Paid,Basic,2023-07
INV00009,C131,2023-07-24,2023-08-23,198.08,Paid,Basic,2023-07
INV00010,C011,2023-07-28,2023-08-27,159.16,Paid,Basic,2023-07
INV00011,C007,2023-07-22,2023-08-21,188.35,Paid,Basic,2023-07
INV00012,C041,2023-07-09,2023-08-08,841.21,Paid,Basic,2023-07
INV00013,C026,2023-07-03,2023-08-02,406.67,Overdue,Pro,2023-07
INV00014,C131,2023-07-09,2023-08-08,221.94,Open,Pro,2023-07
INV00015,C004,2023-07-05,2023-08-04,228.1,Paid,Pro,2023-07
INV00016,C115,2023-07-05,2023-08-04,286.69,Overdue,Pro,2023-07
INV00017,C027,2023-07-08,2023-08-07,195.18,Paid,Pro,2023-07
INV00018,C037,2023-07-12,2023-08-11,149.0,Paid,Basic,2023-07
INV00019,C067,2023-07-13,2023-08-12,294.09,Paid,Pro,2023-07
INV00020,C074,2023-07-07,2023-08-06,108.31,Paid,Basic,2023-07
INV00021,C002,2023-07-14,2023-08-13,305.13,Paid,Enterprise,2023-07
INV00022,C079,2023-07-04,2023-08-03,218.68,Paid,Enterprise,2023-07
INV00023,C045,2023-07-20,2023-08-19,1041.3,Paid,Enterprise,2023-07
INV00024,C019,2023-07-25,2023-08-24,179.13,Open,Enterprise,2023-07
INV00025,C024,2023-07-02,2023-08-01,305.43,Partial,Enterprise,2023-07
INV00026,C118,2023-07-22,2023-08-21,2475.55,Overdue,Basic,2023-07
INV00027,C121,2023-07-10,2023-08-09,313.58,Overdue,Pro,2023-07
INV00028,C079,2023-07-23,2023-08-22,174.98,Paid,Enterprise,2023-07
INV00029,C038,2023-07-15,2023-08-14,791.52,Paid,Enterprise,2023-07
INV00030,C068,2023-07-24,2023-08-23,158.07,Paid,Basic,2023-07
INV00031,C037,2023-07-11,2023-08-10,169.12,Paid,Basic,2023-07
INV00032,C112,2023-07-22,2023-08-21,883.79,Paid,Enterprise,2023-07
INV00033,C026,2023-07-26,2023-08-25,228.34,Open,Pro,2023-07
INV00034,C019,2023-07-17,2023-08-16,247.57,Paid,Pro,2023-07
INV00035,C102,2023-07-23,2023-08-22,205.96,Paid,Pro,2023-07
INV00036,C033,2023-07-11,2023-08-10,699.29,Paid,Pro,2023-07
INV00037,C029,2023-07-13,2023-08-12,423.16,Overdue,Pro,2023-07
INV00038,C037,2023-07-25,2023-08-24,283.72,Overdue,Pro,2023-07
INV00039,C122,2023-07-15,2023-08-14,152.68,Paid,Enterprise,2023-07
INV00040,C106,2023-07-18,2023-08-17,170.22,Paid,Enterprise,2023-07
INV00041,C128,2023-07-10,2023-08-09,250.24,Paid,Pro,2023-07
INV00042,C021,2023-07-08,2023-08-07,144.63,Overdue,Enterprise,2023-07
INV00043,C110,2023-07-17,2023-08-16,192.64,Paid,Enterprise,2023-07
INV00044,C123,2023-07-23,2023-08-22,144.02,Paid,Basic,2023-07
INV00045,C077,2023-07-24,2023-08-23,3753.24,Partial,Pro,2023-07
INV00046,C039,2023-07-06,2023-08-05,89.18,Paid,Enterprise,2023-07
INV00047,C075,2023-07-15,2023-08-14,272.59,Partial,Basic,2023-07
INV00048,C115,2023-07-13,2023-08-12,257.42,Partial,Pro,2023-07
INV00049,C075,2023-07-04,2023-08-03,202.49,Overdue,Basic,2023-07
INV00050,C021,2023-07-10,2023-08-09,168.32,Paid,Basic,2023-07
INV00051,C106,2023-07-04,2023-08-03,114.37,Paid,Basic,2023-07
INV00052,C032,2023-07-20,2023-08-19,326.08,Paid,Basic,2023-07
INV00053,C089,2023-07-10,2023-08-09,561.39,Open,Basic,2023-07
INV00054,C019,2023-07-19,2023-08-18,213.38,Paid,Pro,2023-07
INV00055,C021,2023-07-18,2023-08-17,226.54,Paid,Enterprise,2023-07
INV00056,C108,2023-07-14,2023-08-13,140.34,Paid,Pro,2023-07
INV00057,C096,2023-07-20,2023-08-19,2902.45,Paid,Pro,2023-07
INV00058,C022,2023-07-11,2023-08-10,463.23,Open,Pro,2023-07
INV00059,C074,2023-07-08,2023-08-07,96.34,Paid,Pro,2023-07
INV00060,C024,2023-07-19,2023-08-18,304.07,Open,Pro,2023-07
INV00061,C111,2023-07-22,2023-08-21,200.42,Paid,Enterprise,2023-07
INV00062,C080,2023-07-01,2023-07-31,307.9,Paid,Enterprise,2023-07
INV00063,C067,2023-07-02,2023-08-01,941.8,Paid,Pro,2023-07
INV00064,C110,2023-07-01,2023-07-31,230.52,Paid,Enterprise,2023-07
INV00065,C106,2023-07-05,2023-08-04,176.16,Paid,Basic,2023-07
INV00066,C078,2023-07-23,2023-08-22,89.28,Paid,Enterprise,2023-07
INV00067,C005,2023-07-27,2023-08-26,228.5,Paid,Pro,2023-07
INV00068,C068,2023-07-24,2023-08-23,184.84,Partial,Basic,2023-07
INV00069,C121,2023-07-16,2023-08-15,336.72,Partial,Enterprise,2023-07
INV00070,C027,2023-07-22,2023-08-21,140.15,Overdue,Enterprise,2023-07
INV00071,C060,2023-07-21,2023-08-20,2012.32,Paid,Enterprise,2023-07
INV00072,C053,2023-07-14,2023-08-13,246.12,Overdue,Enterprise,2023-07
INV00073,C121,2023-07-15,2023-08-14,439.65,Paid,Basic,2023-07
INV00074,C050,2023-07-09,2023-08-08,646.48,Paid,Basic,2023-07
INV00075,C022,2023-07-09,2023-08-08,137.92,Open,Enterprise,2023-07
INV00076,C054,2023-07-01,2023-07-31,127.07,Paid,Pro,2023-07
INV00077,C104,2023-07-24,2023-08-23,242.07,Paid,Pro,2023-07
INV00078,C091,2023-07-12,2023-08-11,363.37,Partial,Basic,2023-07
INV00079,C036,2023-07-08,2023-08-07,210.08,Paid,Enterprise,2023-07
INV00080,C075,2023-07-09,2023-08-08,151.81,Partial,Enterprise,2023-07
